Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
Legacy Golf Links,Legacy Golf Links,Smyrna,GA,3906,"Legacy Golf Links, Smyrna, GA",9218,ChIJF7aXq9kQ9YgRMWUcFps8hdo,33.895998,-84.509288
Legacy on Lanier,Legacy on Lanier,Lake Lanier Islands,GA,3907,"Legacy on Lanier, Lake Lanier Islands, GA",8964,ChIJsyRAzxCS9YgR8wCcVzRox4g,34.174479,-84.011303
Legends at Chateau Elan,Legends at Chateau Elan,Braselton,GA,3908,"Legends at Chateau Elan, Braselton, GA",9263,ChIJ4_hdTbDu9YgRE4RCuzoeJgU,34.096295,-83.835468
Links at Lake Toccoa,Links at Lake Toccoa,Toccoa,GA,3909,"Links at Lake Toccoa, Toccoa, GA",24198,ChIJySSdoGq5WIgRCc3t674Zn3Y,34.613875,-83.357157
Links Golf Club,Links Golf Club,Jonesboro,GA,3910,"Links Golf Club, Jonesboro, GA",9195,ChIJddeFhWHw9IgRhOQmeawiYs8,#N/A,#N/A
Lion Golf Club,Lion Golf Club,Bremen,GA,3911,"Lion Golf Club, Bremen, GA",9196,ChIJjx1-SWIni4gRCj76sXWLueQ,33.6995558,-85.1620157
Little Fishing Creek Golf Course,Little Fishing Creek Golf Course,Milledgeville,GA,3912,"Little Fishing Creek Golf Course, Milledgeville, GA",9127,ChIJp7g0Dd3H9ogRBwSBpm6rI7M,33.0849668,-83.2100167
Long Shadow Golf Club,Long Shadow Golf Club,Madison,GA,3913,"Long Shadow Golf Club, Madison, GA",13993,ChIJnw5ejXiG9ogR5SsNtEP7UpU,#N/A,#N/A
Lookout Mountain Golf Club,Lookout Mountain Golf Club,Lookout Mountain,GA,3914,"Lookout Mountain Golf Club, Lookout Mountain, GA",3386,ChIJ9XcT4ptcYIgRK4bk_0yBwVc,34.961828,-85.356884
Lost Plantation Municipal Golf Course,Lost Plantation Municipal Golf Course,Rincon,GA,3915,"Lost Plantation Municipal Golf Course, Rincon, GA",9223,ChIJESaECmy8-4gRn1a08nZagdo,32.2811544,-81.2122292
Magnolia Country Club,Magnolia Country Club,Millen,GA,3916,"Magnolia Country Club, Millen, GA",9208,ChIJ1aDCAkIc-ogRxBEIx6WcaFA,32.8566224,-81.9537567
Mallard Point Golf Club,Mallard Point Golf Club,Rochelle,GA,3917,"Mallard Point Golf Club, Rochelle, GA",9069,ChIJbzxtbfWR8YgR5YSoFbOJii0,#N/A,#N/A
Manor Golf & Country Club,Manor Golf & Country Club,Alpharetta,GA,3918,"Manor Golf & Country Club, Alpharetta, GA",9099,ChIJ0ZLTwP139YgRqPZJ2-vx-GA,34.169083,-84.262203
Maple Ridge Golf Club,Maple Ridge Golf Club,Columbus,GA,3919,"Maple Ridge Golf Club, Columbus, GA",9116,ChIJgaq5eOg084gRSCIbKq6jr2I,32.561354,-84.915648
Marietta Country Club,Marietta Country Club - Lake View/Overlook,Kennesaw,GA,3920,"Marietta Country Club - Lake View/Overlook, Kennesaw, GA",9085,ChIJX2I1Lzo-9YgRPCLrR2Qv0ZI,33.981248,-84.620966
Marietta Country Club,Marietta Country Club - Mountain View/Lake View,Kennesaw,GA,3921,"Marietta Country Club - Mountain View/Lake View, Kennesaw, GA",9084,ChIJX2I1Lzo-9YgRPCLrR2Qv0ZI,33.981248,-84.620966
Marietta Country Club,Marietta Country Club - Overlook/Mountain View,Kennesaw,GA,3922,"Marietta Country Club - Overlook/Mountain View, Kennesaw, GA",9086,ChIJX2I1Lzo-9YgRPCLrR2Qv0ZI,33.981248,-84.620966
Mary Calder Golf Club,Mary Calder Golf Club,Savannah,GA,3923,"Mary Calder Golf Club, Savannah, GA",26313,ChIJiwQtRAOf-4gRjbX35FtZVv4,#N/A,#N/A
McKenzie Memorial Golf Club,McKenzie Memorial Golf Club,Montezuma,GA,3924,"McKenzie Memorial Golf Club, Montezuma, GA",9009,ChIJf1qtVp-284gRfHTOsp3k72g,32.8273425,-83.6507905
McLemore Club,McLemore Club,Rising Fawn,GA,3925,"McLemore Club, Rising Fawn, GA",9152,ChIJhbUk3oQ3YIgRTWvI6d4VcvM,34.745875,-85.456805
Meadow Lakes Golf Club,Meadow Lakes Golf Club,Cedartown,GA,3926,"Meadow Lakes Golf Club, Cedartown, GA",8962,ChIJGcd0tnG_iogRPD6l0iI8sKI,34.0748361,-85.2219445
Meadow Links at George T Bagby,Meadow Links at George T Bagby,Fort Gaines,GA,3927,"Meadow Links at George T Bagby, Fort Gaines, GA",9213,ChIJNYzUnQtRjYgR1ogM3ABzmTU,31.63618,-85.054942
Milton Country Club,Milton Country Club,Milton,GA,3928,"Milton Country Club, Milton, GA",9106,ChIJ4waCYP929YgRWNMidRE37uw,#N/A,#N/A
Mirror Lake Golf Club,Mirror Lake Golf Club - Lake Course,Villa Rica,GA,3929,"Mirror Lake Golf Club - Lake Course, Villa Rica, GA",9255,ChIJaQQXkQgr9YgRfYv7aWD7hKw,33.747892,-84.888921
Mirror Lake Golf Club,Mirror Lake Golf Club - Mountain Course,Villa Rica,GA,3930,"Mirror Lake Golf Club - Mountain Course, Villa Rica, GA",9256,ChIJaQQXkQgr9YgRfYv7aWD7hKw,33.747892,-84.888921
Monroe Golf & Country Club,Monroe Golf & Country Club,Monroe,GA,3931,"Monroe Golf & Country Club, Monroe, GA",9154,ChIJxfhHxazR9YgRhD87cvSaBz0,33.7671076,-83.7255219
Mossy Creek Golf Club,Mossy Creek Golf Club,Cleveland,GA,3932,"Mossy Creek Golf Club, Cleveland, GA",8959,ChIJQzZCoxZQX4gR217WpKNVS_A,34.509478,-83.746085
Mystery Valley Golf Club,Mystery Valley Golf Club,Lithhonia,GA,3933,"Mystery Valley Golf Club, Lithhonia, GA",9133,ChIJW4auRmSu9YgReeHhj_Gp7B4,33.76213,-84.131694
Newnan Country Club,Newnan Country Club,Newnan,GA,3934,"Newnan Country Club, Newnan, GA",9012,ChIJ_Tay1KzI9IgRsboBRtuLTvg,33.419189,-84.776775
Nob North Golf Course,Nob North Golf Course,Cohutta,GA,3935,"Nob North Golf Course, Cohutta, GA",9190,ChIJlSBI4eh3YIgRz4GWS2xSN2g,34.916119,-84.952851
Northwood Country Club,Northwood Country Club,Lawrenceville,GA,3936,"Northwood Country Club, Lawrenceville, GA",9258,ChIJdYHU70mj9YgRAbjm51hzhvk,33.941743,-84.102194
Oak Haven Golf Club,Oak Haven Golf Club,Macon,GA,3937,"Oak Haven Golf Club, Macon, GA",9123,ChIJZ6z9bVD784gRTfJDY0EJuN8,#N/A,#N/A
Oak Mountain Golf Club,Oak Mountain Golf Club,Carrolton,GA,3938,"Oak Mountain Golf Club, Carrolton, GA",8958,ChIJhdd-BYIui4gRYJuLBfiqWRI,33.5752589,-85.0154579
Oaks Course,Oaks Course,Covington,GA,3939,"Oaks Course, Covington, GA",9046,ChIJXe33Y7419IgRJS6U2mCRmN4,33.590167,-83.908183
Oakview Golf & Country Club,Oakview Golf & Country Club,Macon,GA,3940,"Oakview Golf & Country Club, Macon, GA",8973,ChIJZ6z9bVD784gRTfJDY0EJuN8,#N/A,#N/A
Ocean Forest Golf Club,Ocean Forest Golf Club,Sea Island,GA,3941,"Ocean Forest Golf Club, Sea Island, GA",13990,ChIJ87HoxDbO5IgRsJBuMSPePqM,31.184878,-81.34492
Ocilla Country Club,Ocilla Country Club,Ocilla,GA,3942,"Ocilla Country Club, Ocilla, GA",9232,ChIJbRXfGPfn8YgRs9ITYxRkcjI,31.689711,-83.241946
Ogeechee Valley Country Club,Ogeechee Valley Country Club,Louisville,GA,3943,"Ogeechee Valley Country Club, Louisville, GA",9035,ChIJT4l5iPdP94gRHinK-z9brVM,33.025446,-82.400405
Okefenokee Country Club,Okefenokee Country Club,Blackshear,GA,3944,"Okefenokee Country Club, Blackshear, GA",9234,ChIJuwCJnwD774gRCZYlmxjQHvU,31.2664193,-82.3537504
Old Toccoa Farm,Old Toccoa Farm,Mineral Bluff,GA,3945,"Old Toccoa Farm, Mineral Bluff, GA",24013,ChIJSYcEg5WoX4gRReP81J8wZCc,34.92227,-84.3287294
Old Union,Old Union,Blairsville,GA,3946,"Old Union, Blairsville, GA",8974,ChIJd9iFAdQbX4gRSWBGH4EFkqw,34.9379131,-84.0205733
Olde Atlanta Golf Club,Olde Atlanta Golf Club,Suwanee,GA,3947,"Olde Atlanta Golf Club, Suwanee, GA",8939,ChIJ6xo095WZ9YgRRFO2OsgG_JI,34.082038,-84.121291
Orchard Golf & Country Club,Orchard Golf & Country Club,Clarkesville,GA,3948,"Orchard Golf & Country Club, Clarkesville, GA",9103,ChIJp9NceTvIWIgRLYteFCdEeoM,34.701688,-83.456679
Orchard Hills Golf Club,Orchard Hills Golf Club,Newnan,GA,3949,"Orchard Hills Golf Club, Newnan, GA",24186,ChIJzxjqJ_DH9IgRjTXriZ8gpYQ,#N/A,#N/A
Orchard Hills Golf Club,Orchard Hills Golf Club - Logo/Rock Garden,Newnan,GA,3950,"Orchard Hills Golf Club - Logo/Rock Garden, Newnan, GA",9005,ChIJzxjqJ_DH9IgRjTXriZ8gpYQ,#N/A,#N/A
Orchard Hills Golf Club,Orchard Hills Golf Club - Orchard/Logo,Newnan,GA,3951,"Orchard Hills Golf Club - Orchard/Logo, Newnan, GA",9004,ChIJzxjqJ_DH9IgRjTXriZ8gpYQ,#N/A,#N/A
Orchard Hills Golf Club,Orchard Hills Golf Club - Rock Garden/Orchard,Newnan,GA,3952,"Orchard Hills Golf Club - Rock Garden/Orchard, Newnan, GA",9006,ChIJzxjqJ_DH9IgRjTXriZ8gpYQ,#N/A,#N/A
Oxbow Creek Golf Course,Oxbow Creek Golf Course,Columbus,GA,3953,"Oxbow Creek Golf Course, Columbus, GA",9247,ChIJLypQit7SjIgRNLjNdaW8PjI,32.396268,-84.957177
Peachtree Golf Club,Peachtree Golf Club,Atlanta,GA,3954,"Peachtree Golf Club, Atlanta, GA",13982,ChIJwQjVqeQI9YgRUEHsF4NAYY0,#N/A,#N/A
Piedmont Driving Club,Piedmont Driving Club,Atlanta,GA,3955,"Piedmont Driving Club, Atlanta, GA",9238,ChIJsbNADEcE9YgRSSOx65HsxIo,#N/A,#N/A
Pine Forest Country Club,Pine Forest Country Club,Jesup,GA,3956,"Pine Forest Country Club, Jesup, GA",9153,ChIJN01r5VbH-ogRticmPTPVFP0,31.565087,-81.889216
Pine Hills Country Club,Pine Hills Country Club,Cordele,GA,3957,"Pine Hills Country Club, Cordele, GA",9214,ChIJxa6E-WEj8ogRfBghUFR1G90,31.928964,-83.736224
Pine Needles Country Club,Pine Needles Country Club,Fort Valley,GA,3958,"Pine Needles Country Club, Fort Valley, GA",17965,ChIJw-P_Exfq84gRZRGauhmKDMI,32.58697,-83.8596518
Pine Oaks Golf Course,Pine Oaks Golf Course,Robins AFB,GA,3959,"Pine Oaks Golf Course, Robins AFB, GA",9215,ChIJU2i0omRf8YgRgvhmFXXohbI,32.614215,-83.56856
Pinecrest Country Club,Pinecrest Country Club,Pelham,GA,3960,"Pinecrest Country Club, Pelham, GA",9131,ChIJL9WnfGCY7YgRntRACRgNYkE,31.12768,-84.15185
Pineknoll Golf Course,Pineknoll Golf Course,Sylvester,GA,3961,"Pineknoll Golf Course, Sylvester, GA",9023,ChIJkZ-GI24L8ogRBQr0eNCqxUI,31.562024,-83.903301
Pines Golf Course,Pines Golf Course,Toccoa,GA,3962,"Pines Golf Course, Toccoa, GA",9204,ChIJW8sSkhS5WIgRwCgguTx3EQ4,#N/A,#N/A
Pinetree Country Club,Pinetree Country Club,Kennesaw,GA,3963,"Pinetree Country Club, Kennesaw, GA",8993,ChIJYei-tLNq9YgRFoKXIXew3Ag,34.040914,-84.588282
Plantation of Horseleg,Plantation of Horseleg,Rome,GA,3964,"Plantation of Horseleg, Rome, GA",8951,ChIJm2u0Xca8iogRBPPuxfTRZeE,34.226872,-85.213265
Planterra Ridge Golf Club,Planterra Ridge Golf Club,Peachtree City,GA,3965,"Planterra Ridge Golf Club, Peachtree City, GA",9239,ChIJX3YSEl7q9IgR62ePx4ra5Uo,33.370314,-84.584315
Pointe South Golf Club,Pointe South Golf Club,Hephzibah,GA,3966,"Pointe South Golf Club, Hephzibah, GA",9246,ChIJfaJsLTvb-YgRg4pLR7K5NT4,#N/A,#N/A
